,PORTFOLIO_ID,TRADE_DATE,SETTLE_DATE,AMOUNT,DESC,ESTIMATED,CURRENCY,TRANSACTION_ID
0,559,02062022,03062022,57197.58,Internal Transacion,E,MXN,559_20220603_INTERNAL_TRANSACION_E
0,559,03062022,06062022,171645.18,Internal Transacion,E,MXN,559_20220606_INTERNAL_TRANSACION_E
0,559,06062022,07062022,57014.87,Internal Transacion,E,MXN,559_20220607_INTERNAL_TRANSACION_E
0,559,07062022,08062022,56797.52,Internal Transacion,E,MXN,559_20220608_INTERNAL_TRANSACION_E
0,559,08062022,09062022,56957.92,Internal Transacion,E,MXN,559_20220609_INTERNAL_TRANSACION_E
0,559,09062022,10062022,56987.03,Internal Transacion,E,MXN,559_20220610_INTERNAL_TRANSACION_E
0,559,10062022,13062022,170306.84,Internal Transacion,E,MXN,559_20220613_INTERNAL_TRANSACION_E
0,559,13062022,14062022,56539.68,Internal Transacion,E,MXN,559_20220614_INTERNAL_TRANSACION_E
0,559,14062022,15062022,56199.54,Internal Transacion,E,MXN,559_20220615_INTERNAL_TRANSACION_E
